id,title,price,promo_price,url
3777764,Конструктор LEGO City Occasions Новогодний календарь 60303,2 029,,https://www.detmir.ru/product/index/id/3777764/
3596770,Конструктор LEGO Creator Колесо обозрения 31119,10 189,,https://www.detmir.ru/product/index/id/3596770/
3405577,Конструктор LEGO My City Скейт-парк 60290,3 139,2 799,https://www.detmir.ru/product/index/id/3405577/
3597021,Конструктор LEGO Star Wars Дуэль на Мандалоре 75310,2 149,1 499,https://www.detmir.ru/product/index/id/3597021/
3596763,Конструктор LEGO Classic Вокруг света 11015,5 389,4 499,https://www.detmir.ru/product/index/id/3596763/
3599721,Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка) 43111,2 989,1 489,https://www.detmir.ru/product/index/id/3599721/
3777767,Конструктор LEGO Harry Potter Новогодний календарь 76390,3 109,,https://www.detmir.ru/product/index/id/3777767/
3234225,Конструктор LEGO Trolls Путешествие Розочки на воздушном шаре 41252,3 589,2 342,https://www.detmir.ru/product/index/id/3234225/
3777569,Конструктор LEGO Friends Новогодний календарь 41690,2 389,,https://www.detmir.ru/product/index/id/3777569/
3405555,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446,4 309,,https://www.detmir.ru/product/index/id/3405555/
3405622,Конструктор LEGO Ninjago Деревня Хранителей 71747,5 389,,https://www.detmir.ru/product/index/id/3405622/
3597051,Конструктор LEGO Jurassic World Побег стигимолоха 76939,4 429,3 899,https://www.detmir.ru/product/index/id/3597051/
3099183,Конструктор LEGO City Trains Рельсы 60205,1 789,,https://www.detmir.ru/product/index/id/3099183/
3596882,Конструктор LEGO Disney Princess Ледяной замок 43197,23 629,,https://www.detmir.ru/product/index/id/3596882/
3226632,Конструктор LEGO Technic Гоночный автомобиль Top Gear 42109,14 989,,https://www.detmir.ru/product/index/id/3226632/
3226570,Конструктор LEGO Classic Кубики и домики 11008,1 909,,https://www.detmir.ru/product/index/id/3226570/
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,5 509,,https://www.detmir.ru/product/index/id/3597053/
3594634,Конструктор LEGO Star Wars Имперский разведывательный дроид 75306,8 389,,https://www.detmir.ru/product/index/id/3594634/
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6 42114,27 589,,https://www.detmir.ru/product/index/id/3244612/
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,10 189,,https://www.detmir.ru/product/index/id/3597029/
3405542,Конструктор LEGO Creator Пляжный домик серферов 31118,5 389,,https://www.detmir.ru/product/index/id/3405542/
3594628,Конструктор LEGO Super Heroes Битва в древней деревне 76177,4 429,,https://www.detmir.ru/product/index/id/3594628/
3244544,Конструктор LEGO Minions Тренировочный полёт 75547,3 589,,https://www.detmir.ru/product/index/id/3244544/
3405549,Конструктор LEGO Friends Кинотеатр Хартлейк-Сити 41448,5 389,4 299,https://www.detmir.ru/product/index/id/3405549/
3596878,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193,2 389,,https://www.detmir.ru/product/index/id/3596878/
3405636,Конструктор LEGO Minecraft Коралловый риф 21164,1 189,,https://www.detmir.ru/product/index/id/3405636/
3596926,Конструктор LEGO Super Mario Падающая башня босса братца-сумо 71388,3 229,2 599,https://www.detmir.ru/product/index/id/3596926/
3188096,Конструктор LEGO DUPLO Princess Ледяной замок 10899,5 389,4 849,https://www.detmir.ru/product/index/id/3188096/
3475286,Конструктор LEGO Friends Набор кубиков Хартлейк Сити 41431,4 309,,https://www.detmir.ru/product/index/id/3475286/
3596783,Конструктор LEGO Friends Лесной клуб верховой езды 41683,7 789,6 199,https://www.detmir.ru/product/index/id/3596783/
3597050,Конструктор LEGO Speed Champions Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A 76904,6 589,,https://www.detmir.ru/product/index/id/3597050/
